country,position,player
USA,MF,Sebastian Berhalter
USA,MF,Weston McKennie
USA,MF,Cristian Roldan
USA,MF,Brenden Aaronson
USA,MF,Christian Pulisic
USA,MF,Gio Reyna
USA,MF,Malik Tillman
USA,MF,Tim Weah
USA,MF,Alejandro Zendejas
USA,FW,Folarin Balogun
USA,FW,Ricardo Pepi
USA,FW,Haji Wright
Uzbekistan,GK,Botirali Ergashev
Uzbekistan,GK,Abduvohid Nematov
Uzbekistan,GK,Utkir Yusupov
Uzbekistan,DF,Abdukodir Khusanov
Uzbekistan,DF,Khojiakbar Alijonov
Uzbekistan,DF,Rustamjon Ashurmatov
Uzbekistan,DF,Farrukh Sayfiev
Uzbekistan,DF,Sherzod Nasrullaev
Uzbekistan,DF,Umarbek Eshmuradov
Uzbekistan,DF,Avazbek Ulmasaliev
Uzbekistan,DF,Jakhongir Urozov
Uzbekistan,DF,Bekhruz Karimov
Uzbekistan,DF,Abdulla Abdullaev
Uzbekistan,MF,Akmal Mozgovoy
Uzbekistan,MF,Otabek Shukurov
Uzbekistan,MF,Jamshid Iskanderov
Uzbekistan,MF,Odiljon Hamrobekov
Uzbekistan,MF,Jaloliddin Masharipov
Uzbekistan,MF,Azizbek Ganiev
Uzbekistan,MF,Sherzod Esanov
Uzbekistan,MF,Abbosbek Fayzullaev
Uzbekistan,FW,Azizbek Amonov
Uzbekistan,FW,Eldor Shomurodov
Uzbekistan,FW,Igor Sergeev
Uzbekistan,FW,Oston Urunov
Uzbekistan,FW,Dostonbek Hamdamov
